Date,Goat,Total,Comments,,,,
27-August-2025,Lal abluk teddy large fresh crossed (11 month),40000,,,,,
31-August-2025,White tapra with black socks in legs (3 months),34000,Died,,,,
22-September-2025,Brown abluk teddy crossed with marco (8 months),65000,,,,,
7-October-2025,Abluk gulabi female white face large patches on back and near tail (2 teeths),60000,,,,,
7-October-2025,Black abluk tapri black ears and large patches on neck and back,37000,,,,,
25-October-2025,"Full white, yellow eyes, gulabi seeng, medium ears big",60000,,,,,
25-October-2025,"Full white, yellow eyes, gulabi seeng, medium ears small",60000,,,,,
1-January-2026,Cholate gave birth to black abluk male kid,0,Died,,,,
9-February-2026,AMA give birth to brown abluk female bissar with mostly white and patches on neck and back legs,0,,,,,
28-February-2026,Bella was purcahsed by us (farm) from awais bhai,-68000,,,,,
28-February-2026,Purchase a female from fazeel and waiting for crossing,65000,Exhanged with queen,,,,
1-April-2026,Black female teddy with small white spot on head,50000,,,,,
14-June-2026,Exchange female (75k) with queen,0,,,,,
,,403000,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Date,Palai,No of goats,Payment,Method,Monis Share,Saad Share,Comments
2-September-2025,7000,2,14000,Online Transfer to Saad's meezan account,7000,7000,
1-October-2025,7000,2,14000,Online Transfer to Saad's meezan account,7000,7000,
10-October-2025,5000,2,10000,Online Transfer to Saad's meezan account,5000,5000,Palai for grace and bella from 20 days
2-November-2025,7000,4,28000,Online Transfer to Saad's meezan account,14000,14000,Palai for 4 goats remaining arsalan will pay
12-November-2025,7000,2,14000,Monis Transfer to Saad's meezan account,7000,7000,Palai for Arsalan's 2 goats
2-December-2025,7000,4,28000,Online Transfer to Saad's meezan account,14000,14000,Palai for 4 female goats
4-December-2025,7000,2,14000,Monis Transfer to Saad's meezan account,7000,7000,Palai for Arsalan's 2 goats
1-January-2026,7000,4,28000,Online Transfer to Saad's meezan account,14000,14000,Palai for 4 female goats
1-February-2026,7000,4,28000,Online Transfer to Saad's meezan account,14000,14000,Palai for 4 female goats
2-February-2026,7000,4,28000,Monis Transfer to Saad's meezan account,14000,14000,2 months palai for Arasalan's 2 goats
2-March-2026,7000,2,14000,Monis Transfer to Saad's meezan account,7000,7000,2 months palai for Arasalan's 2 goats
4-March-2026,7000,3,21000,Monis Transfer to Saad's meezan account,10500,10500,Palai for 3 female goats
5-April-2026,7000,4,28000,Online Transfer to Saad's meezan account,14000,14000,13k Awais bhai 15k Monis
2-May-2026,7000,4,28000,Online Transfer to Saad's meezan account,14000,14000,Palai for 4 female goats
5-June-2026,7000,5,35000,Online Transfer to Saad's meezan account,17500,17500,Palai for 5 female goats
,,,332000,,166000,166000,
