Date,Item,Quantity,Total,Monis,Saad,Monis Advance,Notes
08-July-2024,2x2 Pallets,16,40000,,40000,,
08-July-2024,Feeder,1,3500,,3500,,
25-July-2024,Gulabi Bakri Pat (Lal),1,35000,,35000,,
29-July-2024,Nilzan Plus,100ml,700,,700,,
08-August-2024,Ivomec,2cc,500,,500,,
19-August-2024,Wanda,20kg,3000,,3000,,
19-August-2024,Alfalfa,40kg,5000,,5000,,
19-August-2024,Delivery,-,600,,600,,
31-August-2024,Double Pasa Bakri (Shop Neighbor),1,32000,,32000,,
02-September-2024,Wanda,60kg,9000,,9000,,
02-September-2024,Delivery,-,600,,600,,
27-September-2024,Wanda,20kg,3000,,3000,,
27-September-2024,Alfalfa,40kg,5000,,5000,,
27-September-2024,Delivery,-,800,,800,,
26-October-2024,Paid Goatherd,-,5000,,5000,,
31-October-2024,Wanda,40kg,6000,,6000,,
31-October-2024,Alfalfa,20kg,2500,,2500,,
31-October-2024,Delivery,-,800,,800,,
20-November-2024,Paid Goatherd,-,5000,,5000,,
28-November-2024,Wanda,60kg,3500,,3500,,6000 - 2500 (return)
28-November-2024,Delivery,-,500,,500,,
16-December-2024,Wanda,40kg,6000,,6000,,
16-December-2024,Delivery,-,545,,545,,
31-December-2024,Wanda,60kg,9000,,9000,,
31-December-2024,Delivery,-,650,,650,,
20-January-2025,Wanda,60kg,9000,,9000,,
20-January-2025,Alfalfa,20kg,2000,,2000,,
20-January-2025,Delivery,-,800,,800,,
01-February-2025,Cement Roof,-,15000,,15000,,
05-February-2025,Material + Electrician,-,15000,,15000,,
05-February-2025,Goat Crossing - 1 Month Palai,-,20000,20000,,,
05-February-2025,Abluk Teddy,1,38000,38000,,,
05-February-2025,Gulabi Teddy (Yellow Eyes),1,53000,,53000,,
08-February-2025,Abluk Gulabi (6 Months),1,-,-,-,,105000 For Monis Qurbani
19-February-2025,Teddy Female (4 Months),1,50000,35000,15000,,
20-February-2025,Dana,-,2000,,2000,,
24-February-2025,Alfalfa,25kg,2850,,2850,,Half
02-March-2025,Goat Dana,-,2210,,2210,,Half
07-March-2025,Gulabi Teddy (Yellow Eyes) Died,-,-,,-,,
07-March-2025,PPR Vaccine,2 Goats,500,,500,,Half
05-March-2025,1 Month Palai,-,20000,20000,,,
09-March-2025,500 Ltrs Water Tank,1,8000,,8000,,
09-March-2025,ETV Vaccine + 2 Injections,-,500,,500,,Half
13-March-2025,Received from Monis,-,,10000,,10000,Plus 25000 for Shamo Chicks
19-March-2025,Goat Dana,20kg,2600,,2600,,
19-March-2025,Soyabean,1kg,90,,90,,
19-March-2025,Alfalfa,20kg,2600,,2600,,Half
23-March-2025,4 Month Yellow Eye Teddy + 3 Month White Eye Teddy,2,75000,35000,40000,,
24-March-2025,Newborn Baby Goat (Male),1,-,-,-,,Abluk Teddy White Eyes
25-March-2025,2x2 Pallets,28,70000,35000,35000,,Monis sent on 14-Feb-2025
25-March-2025,"Goat Cage and Box (Wood, Gola, Grill, Sheet, Carpenter)",-,10100,,10100,,
26-March-2025,Plastic Gallons,4,1200,,1200,,
30-March-2025,Paid Goatherd (18 Days),-,13200,,13200,,
02-April-2025,Goat Feed & Water,-,500,,500,,
03-April-2025,Received from Monis,-,,10000,,10000,
03-April-2025,Alfalfa,45kg,3500,,3500,,Half
03-April-2025,Chilka,50kg,6200,,6200,,
03-April-2025,Gandum,25kg,1850,,1850,,Half
03-April-2025,Chokar,34kg,2400,,2400,,
7-April-2025,Received from Monis,-,,5000,,5000,
9-April-2025,Delivery for pallets,-,3500,,3500,,
13-April-2025,"Concrete work (tanki, cages & shower area)
Blocks",80,3600,,3600,,
13-April-2025,Suzuki raiti,1,3000,,3000,,
13-April-2025,Cement ,3,3900,,3900,,
13-April-2025,2x2 Cement Slabs + 4 feet lanter,2 + 1,2400,,2400,,
13-April-2025,2 days labour (1 mistri & 1 mazdoor),-,8000,,8000,,
19-April-2025,Received from Monis ,-,,12000,,12000,
20-April-2025,Alfalfa hay,65kg,6500,,6500,,Half
20-April-2025,ETV + Ivomec super,-,750,,750,,Half
26-April-2025,Pallets frame old samaan,-,10400,,10400,,
26-April-2025,Pallets frame new samaan,-,16400,,16400,,
26-April-2025,Labour,-,9000,,9000,,
30-April-2025,Paid Goatherd,-,22000,,22000,,
30-April-2025,Recieved from Monis,-,,10000,,10000,
1-May-2025,Drainage pipe samaan,-,4650,,4650,,
1-May-2025,Labour,-,1500,,1500,,
1-May-2025,"3 small, 2 large belts and 2 ropes",7,1500,,1500,,
2-May-2025,Gulabo and Bebo Ultrasound,-,2000,,2000,,
12-May-2025,Recieved from Monis,-,,12000,,12000,25000 for abluk tedda
12-May-2025,Lal abluk teddy male,-,25000,25000,,,Remaining 25000
17-May-2025,Chilka,50kg,5000,,5000,,
17-May-2025,Chokar,34kg,2200,,2200,,
17-May-2025,Alfalfa,25kg,2500,,2500,,Half
18-May-2025,"Nilzan Plus, belt, ATS",-,1000,,1000,,
18-May-2025,Bulbul crossed with Anas gulabi tedda breeder,-,-,-,-,,
20-May-2025,Lal abluk teddy male remaining,-,25000,25000,,,
21-May-2025,Water,1,600,,600,,Half
21-May-2025,Ajrak passa teddy female 10 months token,-,4000,4000,,,44000/- Total 4000/- remaining
22-May-2025,Ajrak passa teddy female 10 months remaining,-,40000,40000,,,
24-May-2025,Live stock shampoo + delivery,4ltr,1500,,1500,,
29-May-2025,12v Fan + adapter + wiring,1,3000,,3000,,
29-May-2025,Water,300ltr,350,,350,,Half
31-May-2025,Chilka,60kg,8100,,8100,,
31-May-2025,Chokar,34kg,2250,,2250,,
31-May-2025,Alfalfa,40kg,4000,,4000,,Half
31-May-2025,Paid goatherd ,.,22000,,22000,,
14-June-2025,Recieved from Monis,-,,35000,,35000,
14-June-2025,Lal pandi gaban 4 month,-,60000,60000,,,55000 Remaining
19-June-2025,Lal pandi give birth to kid,1,-,-,-,,
23-June-2025,ETV Vacine,-,2100,,2100,,
27-June-2025,Alfalfa,200kg,20000,,20000,,
27-June-2025,Delivery ,-,1500,,1500,,
29-June-2025,Water,1200ltr,1500,,1500,,
1-July-2025,Paid Goatherd,-,22000,,22000,,
7-July-2025,Gandum,120kg,8500,,8500,,
7-July-2025,Delivery karachi,-,1500,,1500,,
8-July-2025,Lal pandi remaining,-,55000,55000,,,
12-July-2025,Roof gadars + pipes,-,46200,,46200,,
12-July-2025,Delivery,-,1200,,1200,,
12-July-2025,Paid goat shearer,-,3500,,3500,,
13-July-2025,Chilka,40kg,5200,,5200,,
13-July-2025,Chokar,34kg,1850,,1850,,
13-July-2025,Delivery,-,1500,,1500,,
14-July-2025,Recieved from Monis,-,,20000,,20000,
14-July-2025,Bulbul ultrasound,-,1000,,1000,,
15-July-2025,Medicine for bulbul,-,900,,900,,
15-July-2025,Water,-,700,,700,,
18-July-2025,Gurdya cross with chatni breeder,-,-,,-,,
20-July-2025,Welding labour,-,7000,,7000,,
21-July-2025,Fibro care syrup,1,600,,600,,
21-July-2025,Mineral mixture,3kg,1200,,1200,,
21-July-2025,TCP,3kg,1050,,1050,,
21-July-2025,Toxin binder,3kg,1650,,1650,,
21-July-2025,Bypass fat,3kg,2400,,2400,,
21-July-2025,Delivery,-,225,,225,,
25-July-2025,Recieved from Monis,-,,10000,,10000,
25-July-2025,Bebo doctor,-,3500,,3500,,
26-July-2025,Bebo died,-,-,,-,,
26-July-2025,Gulabo gave birth to 2 male kids,-,-,,-,,
26-July-2025,Cement roof (6x7ft + 5x8ft) and 35xred tiles,-,34000,,34000,,
26-July-2025,Delivery,-,2700,,2700,,
26-July-2025,Delivery,,3000,,3000,,Return and Re-Delivery
27-July-2025,Udder kapre,3,1200,,1200,,
27-July-2025,"Danda, supri, janter",-,1000,,1000,,
27-July-2205,Hooks,-,1500,,1500,,
27-July-2385,Labour,-,2500,,2500,,
28-July-2025,Gulabo 1 kid died,-,-,,-,,
28-July-2025,Lal abluk bissar 6 month,-,45000,45000,,,
28-July-2025,Block + Cement,-,6400,,6400,,
29-July-2025,Gulabo other kid doctor,-,500,,500,,
29-July-2025,Gualbo other kid also died,-,-,,-,,
29-July-2025,Paid Goatherd,-,25000,,25000,,
29-July-2025,Blocks + Raiti + Cement,-,8600,,8600,,
29-July-2025,Slabs,4,3000,,3000,,
30-July-2025,Recieved from Monis,-,,3000,,3000,
30-July-2025,Lal abluk bissar and 2 female teddy delivery to Anas,-,3500,,3500,,
30-July-2025,Cement + Blocks + Rawal bolts,-,3760,,3760,,
30-July-2025,Labour,-,8000,,8000,,
30-July-2025,Water + syringe,-,1000,,1000,,
30-July-2025,Recieved from Monis,-,,30000,,30000,
31-July-2025,Jali + Cement + Raiti + square pipe + Beem,-,6600,,6600,,
31-July-2025,Mistri,-,2500,,2500,,
31-July-2025,Welding labour,-,4000,,4000,,
31-July-2025,Bulbul and choti shezadi crossed with Anas breeders,-,-,,-,,
1-August-2025,Mustard Oil,1 ltr,1000,,1000,,
1-August-2025,Pateri goat (Asad goat farm) delivery,-,2500,2000,500,,Returned due to goat injury
1-August-2025,Recieved from Monis,-,,38000,,38000,
1-August-2025,Recieved from Monis,-,,10000,,10000,
2-August-2025,Boxes for water,3,1950,,1950,,
2-August-2025,Nilzan Plus,-,700,,700,,
2-August-2025,Gulabi double passa female (Lal goat farm),-,100400,,100400,,Almost 6 teeth and 4 month gabban
2-August-2025,Mumtaz bhai for jantar,-,1000,,1000,,
3-August-2025,Feed manager (3.5 feet) Khurli,3,10500,,10500,,
3-August-2025,Delivery,-,580,,580,,
3-August-2025,Nipples (imported),5,750,,750,,
6-August-2025,Welding labour,-,5000,,5000,,
7-August-2025,Kundi + goli qabza,-,2120,,2120,,
7-August-2025,Square pipes,-,40000,,40000,,
11-August-2025,Welding labour,-,5000,,5000,,
12-August-2025,Square pipes,-,8000,,8000,,
12-August-2025,Chilka,80kg,9600,,9600,,
12-August-2025,Chokar,40kg,2177,,2177,,
12-August-2025,Channa atti,10kg,1300,,1300,,
12-August-2025,Khal banola,2kg,160,,160,,
12-August-2025,Soyabean chilka,10kg,550,,550,,
15-August-2025,Square pipes,-,22450,,22450,,
16-August-2025,Kundi + qabza,-,2000,,2000,,
16-August-2025,Ajrak abluk tapra (8 months),-,81000,81000,,,
17-August-2025,Paint material,-,8800,,8800,,
18-August-2025,Chambali died,-,-,,-,,
18-August-2025,Paint,2,2200,,2200,,
18-August-2025,Jantar,-,1000,,1000,,
19-August-2025,Dr. rustum vet,-,3000,,3000,,
