SID,Goat ID,Name,Home Breed,Confirmed Date,Mate Date,Status,Buck,Expected (150 days),Delivered Date,Days after delivery,Comments
1,1 (https://app.notion.com/p/1-25d2fab8a40580519af3f18b35364297?pvs=21),Gulabo,No,No,,Ready,,,"February 21, 2026",154,"Delivered on February 21, 2026"
2,6 (https://app.notion.com/p/6-25d2fab8a40580d292efc90b8cf6b554?pvs=21),Gurdya,Yes,Yes,"June 18, 2026",Doubt,Shelby,"November 15, 2026",,,"Stillbirth on 10th November, Shouldn’t breed for at least 3 months."
3,7 (https://app.notion.com/p/7-25d2fab8a4058011b0c6ca5b77323918?pvs=21),Choti Sheezadi,Yes,Yes,"April 1, 2026",Doubt,"Brownie ","August 29, 2026",,,"Stillbirth on 13th January, Maybe crossed on 14 Apr"
4,16 (https://app.notion.com/p/16-25d2fab8a40580358006e95ebe9c7d64?pvs=21),Paro,Yes,Yes,"June 17, 2026",Doubt,Shelby,"November 14, 2026",,,"Delivered on September 19, 2025"
5,11 (https://app.notion.com/p/11-25d2fab8a40580b0a84ee49c48b9592a?pvs=21),Lallo,No,No,,Delivered,,,"May 11, 2026",75,"Delivered on May 11, 2026"
6,19 (https://app.notion.com/p/19-25d2fab8a4058006ac36c60d84b9ab81?pvs=21),Titli,Yes,Yes,"June 15, 2026",Doubt,Shelby,"November 12, 2026",,,"Purchased on August 27, 2025 (age: 3 months)."
7,20 (https://app.notion.com/p/20-25d2fab8a40580c4b381dcaa95c0a3e4?pvs=21),Emma,Yes,Yes,"April 1, 2026",Doubt,Brownie,"August 29, 2026","February 9, 2026",166,"Delivered on February 9, 2026"
8,22 (https://app.notion.com/p/22-27a2fab8a4058036875affb07b74deed?pvs=21),Chocolate,Yes,Yes,"June 19, 2026",Doubt,Shelby,"November 16, 2026",,,"Delivered on January 1, 2026"
9,23 (https://app.notion.com/p/23-27d2fab8a40580a79bc6d873b91815bf?pvs=21),Velvet,No,No,,Kid,,,,,"Born on September 22, 2025"
10,24 (https://app.notion.com/p/24-2862fab8a40580da83f5cb98d3868613?pvs=21),Grace,Yes,Yes,"June 14, 2026",Doubt,Shelby,"November 11, 2026",,,"Purchased on October 7, 2025 (fresh crossed)"
11,27 (https://app.notion.com/p/27-2922fab8a40580c2a8c3faa4631cb880?pvs=21),Bubbly,Yes,Yes,"July 14, 2026",Ready,Shelby,"December 11, 2026",,,"Purchased on October 19, 2025 (age: 4 months)."
12,30 (https://app.notion.com/p/30-2a12fab8a405803dab73fcfd5d81bce6?pvs=21),Queen,Yes,Yes,"June 18, 2026",Doubt,Shelby,"November 15, 2026","March 12, 2026",135,"Delivered on 12 March, 2026, Maybe crossed on 14 Apr"
13,33 (https://app.notion.com/p/33-2fb2fab8a4058071aaacd18c74d03038?pvs=21),Masakali,No,No,,Delivered,,,"May 13, 2026",73,Purchased from fazeel
14,34 (https://app.notion.com/p/34-2fb2fab8a40580adbc77f577dec20a4b?pvs=21),Coco,No,No,,Ready,,,,,Purchased from fazeel
15,36 (https://app.notion.com/p/36-3022fab8a405800e8486e3d5c3a2b99e?pvs=21),Daisy,No,No,,Kid,,,,,
16,42 (https://app.notion.com/p/42-3352fab8a40580c19b92d690146c1824?pvs=21),Charcoal,No,No,,Ready,,,,,
17,43 (https://app.notion.com/p/43-3432fab8a4058017b15ed83561719261?pvs=21),Cadbury,No,Yes,"April 7, 2026",Doubt,Black Abluk Breeder,"September 4, 2026",,,Purchased from shahzaib
,,,No,No,,,,,,,
,,,No,No,,,,,,,
