SID,Buck,Comments,Confirmed Date,Days after delivery,Delivered Date,Expected (150 days),Goat ID,Home Breed,Mate Date,Name,Status
1,,"Delivered on February 21, 2026",No,154,"February 21, 2026",,1 (https://app.notion.com/p/1-25d2fab8a40580519af3f18b35364297?pvs=21),No,,Gulabo,Ready
3,"Brownie ","Stillbirth on 13th January, Maybe crossed on 14 Apr",Yes,,,"August 29, 2026",7 (https://app.notion.com/p/7-25d2fab8a4058011b0c6ca5b77323918?pvs=21),Yes,"April 1, 2026",Choti Sheezadi,Doubt
10,Shelby,"Purchased on October 7, 2025 (fresh crossed)",Yes,,,"November 11, 2026",24 (https://app.notion.com/p/24-2862fab8a40580da83f5cb98d3868613?pvs=21),Yes,"June 14, 2026",Grace,Doubt
5,,"Delivered on May 11, 2026",No,75,"May 11, 2026",,11 (https://app.notion.com/p/11-25d2fab8a40580b0a84ee49c48b9592a?pvs=21),No,,Lallo,Delivered
4,Shelby,"Delivered on September 19, 2025",Yes,,,"November 14, 2026",16 (https://app.notion.com/p/16-25d2fab8a40580358006e95ebe9c7d64?pvs=21),Yes,"June 17, 2026",Paro,Doubt
6,Shelby,"Purchased on August 27, 2025 (age: 3 months).",Yes,,,"November 12, 2026",19 (https://app.notion.com/p/19-25d2fab8a4058006ac36c60d84b9ab81?pvs=21),Yes,"June 15, 2026",Titli,Doubt
7,Brownie,"Delivered on February 9, 2026",Yes,166,"February 9, 2026","August 29, 2026",20 (https://app.notion.com/p/20-25d2fab8a40580c4b381dcaa95c0a3e4?pvs=21),Yes,"April 1, 2026",Emma,Doubt
2,Shelby,"Stillbirth on 10th November, Shouldn’t breed for at least 3 months.",Yes,,,"November 15, 2026",6 (https://app.notion.com/p/6-25d2fab8a40580d292efc90b8cf6b554?pvs=21),Yes,"June 18, 2026",Gurdya,Doubt
8,Shelby,"Delivered on January 1, 2026",Yes,,,"November 16, 2026",22 (https://app.notion.com/p/22-27a2fab8a4058036875affb07b74deed?pvs=21),Yes,"June 19, 2026",Chocolate,Doubt
12,Shelby,"Delivered on 12 March, 2026, Maybe crossed on 14 Apr",Yes,135,"March 12, 2026","November 15, 2026",30 (https://app.notion.com/p/30-2a12fab8a405803dab73fcfd5d81bce6?pvs=21),Yes,"June 18, 2026",Queen,Doubt
9,,"Born on September 22, 2025",No,,,,23 (https://app.notion.com/p/23-27d2fab8a40580a79bc6d873b91815bf?pvs=21),No,,Velvet,Kid
11,Shelby,"Purchased on October 19, 2025 (age: 4 months).",Yes,,,"December 11, 2026",27 (https://app.notion.com/p/27-2922fab8a40580c2a8c3faa4631cb880?pvs=21),Yes,"July 14, 2026",Bubbly,Ready
13,,Purchased from fazeel,No,73,"May 13, 2026",,33 (https://app.notion.com/p/33-2fb2fab8a4058071aaacd18c74d03038?pvs=21),No,,Masakali,Delivered
14,,Purchased from fazeel,No,,,,34 (https://app.notion.com/p/34-2fb2fab8a40580adbc77f577dec20a4b?pvs=21),No,,Coco,Ready
15,,,No,,,,36 (https://app.notion.com/p/36-3022fab8a405800e8486e3d5c3a2b99e?pvs=21),No,,Daisy,Kid
16,,,No,,,,42 (https://app.notion.com/p/42-3352fab8a40580c19b92d690146c1824?pvs=21),No,,Charcoal,Ready
17,Black Abluk Breeder,Purchased from shahzaib,Yes,,,"September 4, 2026",43 (https://app.notion.com/p/43-3432fab8a4058017b15ed83561719261?pvs=21),No,"April 7, 2026",Cadbury,Doubt
,,,No,,,,,No,,,
,,,No,,,,,No,,,
