SID,Goats ID,Name,Pregnant,Last I-DW,Last I-DW Date,Dose,I-DW Follow-up,Next I-DW Date,Last E-DW,Last E-DW Date,Dose 1,Next E-DW Date
1,1 (https://app.notion.com/p/1-25d2fab8a40580519af3f18b35364297?pvs=21),Gulabo,No,Deviser Plus,"March 2, 2026",10ml,No,"May 31, 2026",Unimec Plus,"March 7, 2026",1cc,"June 2, 2026"
2,3 (https://app.notion.com/p/3-25d2fab8a40580fb99c6ced201efc7da?pvs=21),Bilo Rani,No,Deviser Plus,"March 2, 2026",5ml,No,"May 31, 2026",Unimec Plus,"March 7, 2026",1cc,"June 2, 2026"
3,6 (https://app.notion.com/p/6-25d2fab8a40580d292efc90b8cf6b554?pvs=21),Gurdya,Yes,Deviser Plus,"March 2, 2026",5ml,No,"May 31, 2026",Unimec Plus,"March 7, 2026",1cc,"June 2, 2026"
4,7 (https://app.notion.com/p/7-25d2fab8a4058011b0c6ca5b77323918?pvs=21),Choti Sheezadi,Yes,Deviser Plus,"March 2, 2026",5ml,No,"May 31, 2026",Unimec Plus,"March 7, 2026",1cc,"June 2, 2026"
5,8 (https://app.notion.com/p/8-25d2fab8a40580d1bbd1f40afcbd720e?pvs=21),Cheeku,No,Nilzan Plus,"August 2, 2025",5ml,No,"October 31, 2025",Unimec Plus,"September 11, 2025",1cc,"November 2, 2025"
6,9 (https://app.notion.com/p/9-25d2fab8a40580bab759edd30ae43375?pvs=21),Brownie,No,Nilzan Plus,"July 23, 2025",10ml,No,"October 21, 2025",Unimec Plus,"September 11, 2025",1cc,"October 23, 2025"
7,11 (https://app.notion.com/p/11-25d2fab8a40580b0a84ee49c48b9592a?pvs=21),Lallo,No,Deviser Plus,"June 15, 2026",10ml,No,"September 13, 2026",Unimec Plus,"September 11, 2025",1cc,"September 15, 2026"
8,12 (https://app.notion.com/p/12-25d2fab8a405807fad18cfc7c7fb677d?pvs=21),Shezada,No,Punch,"September 12, 2025",2ml,No,"December 11, 2025",Unimec Plus,"September 16, 2025",0.5cc,"December 13, 2025"
10,16 (https://app.notion.com/p/16-25d2fab8a40580358006e95ebe9c7d64?pvs=21),Paro,No,Deviser Plus,"June 15, 2026",15ml,No,"September 13, 2026",Unimec Plus,"March 7, 2026",1cc,"September 15, 2026"
12,19 (https://app.notion.com/p/19-25d2fab8a4058006ac36c60d84b9ab81?pvs=21),Titli,Yes,Deviser Plus,"March 2, 2026",3ml,No,"May 31, 2026",Unimec Plus,"March 7, 2026",0.5cc,"June 2, 2026"
