SID,Dose,Dose 1,Goats ID,I-DW Follow-up,Last E-DW,Last E-DW Date,Last I-DW,Last I-DW Date,Name,Next E-DW Date,Next I-DW Date,Pregnant
1,10ml,1cc,1 (https://app.notion.com/p/1-25d2fab8a40580519af3f18b35364297?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"March 2, 2026",Gulabo,"June 2, 2026","May 31, 2026",No
2,5ml,1cc,3 (https://app.notion.com/p/3-25d2fab8a40580fb99c6ced201efc7da?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"March 2, 2026",Bilo Rani,"June 2, 2026","May 31, 2026",No
3,5ml,1cc,6 (https://app.notion.com/p/6-25d2fab8a40580d292efc90b8cf6b554?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"March 2, 2026",Gurdya,"June 2, 2026","May 31, 2026",Yes
4,5ml,1cc,7 (https://app.notion.com/p/7-25d2fab8a4058011b0c6ca5b77323918?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"March 2, 2026",Choti Sheezadi,"June 2, 2026","May 31, 2026",Yes
5,5ml,1cc,8 (https://app.notion.com/p/8-25d2fab8a40580d1bbd1f40afcbd720e?pvs=21),No,Unimec Plus,"September 11, 2025",Nilzan Plus,"August 2, 2025",Cheeku,"November 2, 2025","October 31, 2025",No
6,10ml,1cc,9 (https://app.notion.com/p/9-25d2fab8a40580bab759edd30ae43375?pvs=21),No,Unimec Plus,"September 11, 2025",Nilzan Plus,"July 23, 2025",Brownie,"October 23, 2025","October 21, 2025",No
7,10ml,1cc,11 (https://app.notion.com/p/11-25d2fab8a40580b0a84ee49c48b9592a?pvs=21),No,Unimec Plus,"September 11, 2025",Deviser Plus,"June 15, 2026",Lallo,"September 15, 2026","September 13, 2026",No
8,2ml,0.5cc,12 (https://app.notion.com/p/12-25d2fab8a405807fad18cfc7c7fb677d?pvs=21),No,Unimec Plus,"September 16, 2025",Punch,"September 12, 2025",Shezada,"December 13, 2025","December 11, 2025",No
10,15ml,1cc,16 (https://app.notion.com/p/16-25d2fab8a40580358006e95ebe9c7d64?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"June 15, 2026",Paro,"September 15, 2026","September 13, 2026",No
12,3ml,0.5cc,19 (https://app.notion.com/p/19-25d2fab8a4058006ac36c60d84b9ab81?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"March 2, 2026",Titli,"June 2, 2026","May 31, 2026",Yes
13,10ml,1cc,20 (https://app.notion.com/p/20-25d2fab8a40580c4b381dcaa95c0a3e4?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"March 2, 2026",Emma,"June 2, 2026","May 31, 2026",No
14,5ml,1cc,22 (https://app.notion.com/p/22-27a2fab8a4058036875affb07b74deed?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"March 2, 2026",Chocolate,"June 2, 2026","May 31, 2026",No
15,5ml,1cc,23 (https://app.notion.com/p/23-27d2fab8a40580a79bc6d873b91815bf?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"May 15, 2026",Velvet,"August 15, 2026","August 13, 2026",No
16,10ml,,24 (https://app.notion.com/p/24-2862fab8a40580da83f5cb98d3868613?pvs=21),No,,,Deviser Plus,"April 21, 2026",Grace,"July 22, 2026","July 20, 2026",Yes
18,6ml,1cc,27 (https://app.notion.com/p/27-2922fab8a40580c2a8c3faa4631cb880?pvs=21),No,Unimec Plus,"March 7, 2026",Deviser Plus,"March 2, 2026",Bubbly,"June 2, 2026","May 31, 2026",No
21,,,30 (https://app.notion.com/p/30-2a12fab8a405803dab73fcfd5d81bce6?pvs=21),No,,,,,Queen,,,No
22,10ml,1ml,33 (https://app.notion.com/p/33-2fb2fab8a4058071aaacd18c74d03038?pvs=21),No,Unimec Plus,"June 21, 2026",Deviser Plus,"June 15, 2026",Masakali,"September 15, 2026","September 13, 2026",No
23,,,34 (https://app.notion.com/p/34-2fb2fab8a40580adbc77f577dec20a4b?pvs=21),No,,,,,Coco,,,No
24,,,36 (https://app.notion.com/p/36-3022fab8a405800e8486e3d5c3a2b99e?pvs=21),No,,,,,Daisy,,,No
25,,,38 (https://app.notion.com/p/38-30e2fab8a40580e6a861e86b1dc03f6f?pvs=21),No,,,,,Bruno,,,No
26,,,39 (https://app.notion.com/p/39-30e2fab8a405807a97c2d2378c6c94f9?pvs=21),No,,,,,Leo,,,No
27,,,40 (https://app.notion.com/p/40-31a2fab8a405803dbba6d4d5efe69ee6?pvs=21),No,,,,,Bhola,,,No
29,,,42 (https://app.notion.com/p/42-3352fab8a40580c19b92d690146c1824?pvs=21),No,,,,,Charcoal,,,Yes
30,,,43 (https://app.notion.com/p/43-3432fab8a4058017b15ed83561719261?pvs=21),No,,,,,Cadbury,,,No
31,,,44 (https://app.notion.com/p/44-35d2fab8a40580a7a9a0f8653e0a713a?pvs=21),No,,,,,Babblu,,,No
32,,,45 (https://app.notion.com/p/45-36b2fab8a40580148162fca79911d121?pvs=21),No,,,,,Toffee,,,No
33,4ml,1ml,46 (https://app.notion.com/p/46-3772fab8a40580feb936dec2bf8b47bd?pvs=21),No,Unimec Plus,"July 1, 2026",Thunder,"July 14, 2026",Munni,"October 14, 2026","October 12, 2026",No
34,15ml,2ml,47 (https://app.notion.com/p/47-37d2fab8a405808d905cfcc8b2463ae1?pvs=21),No,Unimec Plus,"June 21, 2026",Deviser Plus,"June 15, 2026",Shelby,"September 15, 2026","September 13, 2026",No
