ID,Name,Breed,Sex,Date of purchasing,Age at purchasing,Description,Status,Price,Purchased From,Owner,Sold,Comment,Home-bred,Out Date,Palai Rate
1,Gulabo,Gulabi,Female,"July 25, 2024",4 teeths,Complete white with round seeng,,35000,Lal goat farm,Farm,,,No,,
2,Bebo,Gulabi,Female,"August 31, 2024",4 teeths,Double passa with seeng,Died,32000,Shop neighbour,Farm,,,No,,
3,Bilo Rani,Teddy,Female,"February 5, 2025",10 months,Brown abluk white eyes with seeng (Pregnent),Sold,38000,Danish (Boss),Farm,65000,Sold with kid,No,,
4,-,Teddy,Female,"February 5, 2025",8 months,Full white with yellow eyes (10 days crossed),Died,53000,Asif Jamshed Road,Farm,,,No,,
5,Bulbul,Teddy,Female,"February 19, 2025",4 months,"Full white, white eyes, mundi",Slaughtered,50000,Fazeel,Farm,,,No,,
6,Gurdya,Teddy,Female,"March 23, 2025",4 months,"Full white, yellow eyes, seeng",,37500,Fazeel,Farm,,,No,,
7,Choti Sheezadi,Teddy,Female,"March 23, 2025",3 months,"Full white, white eyes, mundi",,37500,Fazeel,Farm,,,No,,
8,Cheeku,Teddy,Male,"March 24, 2025",0,"Bilo rani kid, Full white, yellow eyes, seeng",,0,-,Farm,,,No,,
9,Brownie,Teddy,Male,"May 12, 2025",5 months,"Brown abluk, white eyes, munda",Sold,50000,Fazeel,Farm,78000,-2500 (delivery) sold in punjab (fazeel reference),No,,
10,Chambeli,Teddy,Female,"May 22, 2025",10 months,"White with black ajrak patch on neck, lose ears",Died,40000,Fazeel,Farm,,,No,,
11,Lallo,Teddy,Female,"June 14, 2025",10 months,"Brown chambi, white eyes, Pregnent",,115000,Fazeel,Farm,,,No,,
12,Shezada,Teddy,Male,"June 19, 2025",0,"Lal pandi kid, full white, pointed ears, yellow eyes.",Sold,0,-,Farm,33000,,No,,
13,-,Gulabi,Male,"July 26, 2025",0,"Gulabo kid, full white, full points",Died,0,-,Farm,,,No,,
14,-,Gulabi,Male,"July 26, 2025",0,"Gulabo kid, full white, full points",Died,0,-,Farm,,,No,,
15,Biscuit,Bissar,Male,"July 28, 2025",6 months,"Brown abluk, seeng",Sold,45000,Fazeel,Farm,60000,Sold to arsalan on 24th May.,No,,
16,Paro,Gulabi,Female,"August 2, 2025",6 teeths,"Brown double passa, long ears, seeng",,100400,Lal goat farm,Farm,,,No,,
17,Hero,Tapra,Male,"August 16, 2025",6 months,"Black brown abluk ajrak, munda, kalli",Sold,80000,Waheed goat farm,Farm,75000,Sold from Chatni goat farm on around 1st May.,No,,
18,Masakali,Tapra,Female,"August 21, 2025",5-6 months,"Black chambi, white eyes, seeng",Died,40000,Aslam goat farm,Farm,,,No,,
19,Titli,Teddy,Female,"August 27, 2025",3 months,"Black abluk, seeng, yellow eyes",,41000,Brothers cattle farm,Farm,,,No,,
20,Emma,Teddy,Female,"August 27, 2025",11 months,"Brown abluk, large teddy, large seeng, large ears.",,40000,Fazeel,Awais,,,No,,
21,Milk,Tapra,Female,"August 31, 2025",4.5 months,White with black socks on all legs and small black patch near both ears,Slaughtered,27500,Shaheer,Awais,34000,Purchased (25k + 2.5k) for Awais and sold it for 34k.,No,,
22,Chocolate,Teddy,Female,"September 22, 2025",8 months,Red cheena abluk female (1.5 months crossed with marco),,67500,Fazeel,Awais,65000,65k for goat and 2.5k delivery,No,,
23,Velvet,Gulabi,Female,"September 28, 2025",0 day,"Paro’s kids, Single passa female long ears",,0,-,Farm,,,No,,
24,Grace,Gulabi,Female,"October 7, 2025",2 teeths,"Lal abluk, white face large patches on back and near tail (fresh crossed)",,60000,Waheed Goat Farm/ Wali kareem,Awais,60000,,No,,
25,Bella,Tapra,Female,"October 7, 2025",Almost 8 teeths,"Black abluk, black ears, large patches on neck and rear back (fresh crossed)",Died,37000,Aslam goat farm,Farm,68000,"Initially purchased by awais bhai for 37,000 on Oct 7, 2025. We purchased it from awais bhai on 28th Feb, 2026 for 68,000",No,,
26,Bunty,Bissar,Male,"October 13, 2025",6 months,"Black ajrak abluk, single large patch on front, long ears ",Died,55000,Waheed Goat Farm,Monis,,,No,,
27,Bubbly,Bissar,Female,"October 19, 2025",4 months,"Dark brown ajrak abluk, long ears, large patches on neck, ears, and back, pink nose",,40000,Faheem Goat Farm,Farm,,,No,,
28,Monu,Gulabi,Male,"October 25, 2025",8 months,"Full white, yellow eyes, gulabi seeng, medium ears. (Big)",Gone,60000,Waheed Goat Farm,Arsalan,,,No,,
29,Sonu,Gulabi,Male,"October 25, 2025",7 months,"Full white, yellow eyes, gulabi seeng, medium ears. (Small)",Gone,60000,Waheed Goat Farm,Arsalan,,,No,,
30,Queen,Teddy,Female,"November 1, 2025",2 teeth,"Fone abluk, white eyes, seeng, small ears (1.5 month crossed with ajrak tedda)",,70000,Waheed Goat Farm,Awais,65000,Exchanged with awais bhai new female red cheena on June 14,No,,
31,Oreo,Tapra,Male,"December 16, 2025",2 months,"Black abluk, white face large patches on back and back legs, seeng",Died,38000,Naeem,Farm,,,No,,
32,Cookie,Teddy,Female,"January 1, 2026",0,"Chocolate’s kid, black abluk female",Died,0,-,Awais,,,No,,
33,Masakali,Teddy,Female,"February 16, 2026",,"Dark brown chambi, round seeng, medium ears.",,50000,Fazeel,Farm,,,No,,
34,Coco,Teddy,Female,"February 16, 2026",,"Commando ajruk (dark brown and brown), large bend ears, large seeng",,46000,Fazeel,Farm,,,No,,
35,Guddu,Teddy,Male,"January 30, 2026",5 months,"Black abluk, munda, mostly white with black on back, neck and legs, black nose, short ears.",Slaughtered,30000,Danish (Boss),Monis,,,No,,
36,Daisy,Bissar,Female,"February 9, 2026",0,"Emma’s kid, Brown abluk, mostly white, brown patches on neck and back legs",,0,,Awais,,,No,,
37,Rupa,Teddy,Female,"February 13, 2026",,"Brown abluk, fone white, medium ears. (crossed with ajrak breeder)",Slaughtered,58000,Fazeel,Farm,,,No,,
38,Bruno,Teddy,Male,"February 19, 2026",0,"Billo rani’s kid, brown abluk mostly white male teddy",Sold,0,,Farm,0,Sold with mother/,No,,
39,Leo,Bissar,Male,"February 21, 2026",0,"Gulabo’s kid, double passa male bissar",,0,,Farm,,,No,,
40,Bhola,Tapra,Male,"March 4, 2026",0,"Bella’s kid, brown abluk mostly white with patches around neck and tail ",Sold,0,,Farm,24000,,No,,
41,-,Teddy,Female,"March 12, 2026",0,Queen give birth to full white teddy female,Died,0,,Farm,,,No,,
42,Charcoal,Teddy,Female,"April 1, 2026",10 months,"Black, small spot on head, seeng",,50000,Shahzaib,Awais,,Purchased 38k for Awais and sold it for 50k.,No,,
43,Cadbury,Teddy,Female,"April 11, 2026",12 months,"Ajrak teddy female 12 months,  long ear, seeng, crossed with abluk breeder",,38000,,Farm,,,No,,
44,Babblu,Teddy,Male,"May 11, 2026",0,"Lallo kid, full white, White eyes, white khur",,0,,Farm,,,No,,
45,Toffee,Teddy,Female,"May 13, 2026",0,"Masakali kid, Unique fone color deer like pattern",,0,,Farm,,,No,,
46,Munni,Teddy,Female,"June 5, 2026",6 months,Purchased earlier from fazeel not crossed with marco,,65000,Fazeel,Farm,,Exchanged with queen due to heavy weekness,No,,
47,Shelby,Teddy,Male,"June 8, 2026",6-8 teeth,"Black abluk heavy breeder, munda",,110000,Shaheer,Farm,,,No,,
,,,,,,,,,,,,,No,,
