ID,Age at purchasing,Breed,Comment,Date of purchasing,Description,Home-bred,Name,Out Date,Owner,Palai Rate,Price,Purchased From,Sex,Sold,Status
1,4 teeths,Gulabi,,"July 25, 2024",Complete white with round seeng,No,Gulabo,,Farm,,35000,Lal goat farm,Female,,
2,4 teeths,Gulabi,,"August 31, 2024",Double passa with seeng,No,Bebo,,Farm,,32000,Shop neighbour,Female,,Died
3,10 months,Teddy,Sold with kid,"February 5, 2025",Brown abluk white eyes with seeng (Pregnent),No,Bilo Rani,,Farm,,38000,Danish (Boss),Female,65000,Sold
4,8 months,Teddy,,"February 5, 2025",Full white with yellow eyes (10 days crossed),No,-,,Farm,,53000,Asif Jamshed Road,Female,,Died
5,4 months,Teddy,,"February 19, 2025","Full white, white eyes, mundi",No,Bulbul,,Farm,,50000,Fazeel,Female,,Slaughtered
6,4 months,Teddy,,"March 23, 2025","Full white, yellow eyes, seeng",No,Gurdya,,Farm,,37500,Fazeel,Female,,
7,3 months,Teddy,,"March 23, 2025","Full white, white eyes, mundi",No,Choti Sheezadi,,Farm,,37500,Fazeel,Female,,
8,0,Teddy,,"March 24, 2025","Bilo rani kid, Full white, yellow eyes, seeng",No,Cheeku,,Farm,,0,-,Male,,
9,5 months,Teddy,-2500 (delivery) sold in punjab (fazeel reference),"May 12, 2025","Brown abluk, white eyes, munda",No,Brownie,,Farm,,50000,Fazeel,Male,78000,Sold
10,10 months,Teddy,,"May 22, 2025","White with black ajrak patch on neck, lose ears",No,Chambeli,,Farm,,40000,Fazeel,Female,,Died
11,10 months,Teddy,,"June 14, 2025","Brown chambi, white eyes, Pregnent",No,Lallo,,Farm,,115000,Fazeel,Female,,
12,0,Teddy,,"June 19, 2025","Lal pandi kid, full white, pointed ears, yellow eyes.",No,Shezada,,Farm,,0,-,Male,33000,Sold
13,0,Gulabi,,"July 26, 2025","Gulabo kid, full white, full points",No,-,,Farm,,0,-,Male,,Died
14,0,Gulabi,,"July 26, 2025","Gulabo kid, full white, full points",No,-,,Farm,,0,-,Male,,Died
15,6 months,Bissar,Sold to arsalan on 24th May.,"July 28, 2025","Brown abluk, seeng",No,Biscuit,,Farm,,45000,Fazeel,Male,60000,Sold
16,6 teeths,Gulabi,,"August 2, 2025","Brown double passa, long ears, seeng",No,Paro,,Farm,,100400,Lal goat farm,Female,,
17,6 months,Tapra,Sold from Chatni goat farm on around 1st May.,"August 16, 2025","Black brown abluk ajrak, munda, kalli",No,Hero,,Farm,,80000,Waheed goat farm,Male,75000,Sold
18,5-6 months,Tapra,,"August 21, 2025","Black chambi, white eyes, seeng",No,Masakali,,Farm,,40000,Aslam goat farm,Female,,Died
19,3 months,Teddy,,"August 27, 2025","Black abluk, seeng, yellow eyes",No,Titli,,Farm,,41000,Brothers cattle farm,Female,,
20,11 months,Teddy,,"August 27, 2025","Brown abluk, large teddy, large seeng, large ears.",No,Emma,,Awais,,40000,Fazeel,Female,,
21,4.5 months,Tapra,Purchased (25k + 2.5k) for Awais and sold it for 34k.,"August 31, 2025",White with black socks on all legs and small black patch near both ears,No,Milk,,Awais,,27500,Shaheer,Female,34000,Slaughtered
22,8 months,Teddy,65k for goat and 2.5k delivery,"September 22, 2025",Red cheena abluk female (1.5 months crossed with marco),No,Chocolate,,Awais,,67500,Fazeel,Female,65000,
23,0 day,Gulabi,,"September 28, 2025","Paro’s kids, Single passa female long ears",No,Velvet,,Farm,,0,-,Female,,
24,2 teeths,Gulabi,,"October 7, 2025","Lal abluk, white face large patches on back and near tail (fresh crossed)",No,Grace,,Awais,,60000,Waheed Goat Farm/ Wali kareem,Female,60000,
25,Almost 8 teeths,Tapra,"Initially purchased by awais bhai for 37,000 on Oct 7, 2025. We purchased it from awais bhai on 28th Feb, 2026 for 68,000","October 7, 2025","Black abluk, black ears, large patches on neck and rear back (fresh crossed)",No,Bella,,Farm,,37000,Aslam goat farm,Female,68000,Died
26,6 months,Bissar,,"October 13, 2025","Black ajrak abluk, single large patch on front, long ears ",No,Bunty,,Monis,,55000,Waheed Goat Farm,Male,,Died
27,4 months,Bissar,,"October 19, 2025","Dark brown ajrak abluk, long ears, large patches on neck, ears, and back, pink nose",No,Bubbly,,Farm,,40000,Faheem Goat Farm,Female,,
28,8 months,Gulabi,,"October 25, 2025","Full white, yellow eyes, gulabi seeng, medium ears. (Big)",No,Monu,,Arsalan,,60000,Waheed Goat Farm,Male,,Gone
29,7 months,Gulabi,,"October 25, 2025","Full white, yellow eyes, gulabi seeng, medium ears. (Small)",No,Sonu,,Arsalan,,60000,Waheed Goat Farm,Male,,Gone
30,2 teeth,Teddy,Exchanged with awais bhai new female red cheena on June 14,"November 1, 2025","Fone abluk, white eyes, seeng, small ears (1.5 month crossed with ajrak tedda)",No,Queen,,Awais,,70000,Waheed Goat Farm,Female,65000,
31,2 months,Tapra,,"December 16, 2025","Black abluk, white face large patches on back and back legs, seeng",No,Oreo,,Farm,,38000,Naeem,Male,,Died
32,0,Teddy,,"January 1, 2026","Chocolate’s kid, black abluk female",No,Cookie,,Awais,,0,-,Female,,Died
33,,Teddy,,"February 16, 2026","Dark brown chambi, round seeng, medium ears.",No,Masakali,,Farm,,50000,Fazeel,Female,,
34,,Teddy,,"February 16, 2026","Commando ajruk (dark brown and brown), large bend ears, large seeng",No,Coco,,Farm,,46000,Fazeel,Female,,
35,5 months,Teddy,,"January 30, 2026","Black abluk, munda, mostly white with black on back, neck and legs, black nose, short ears.",No,Guddu,,Monis,,30000,Danish (Boss),Male,,Slaughtered
36,0,Bissar,,"February 9, 2026","Emma’s kid, Brown abluk, mostly white, brown patches on neck and back legs",No,Daisy,,Awais,,0,,Female,,
37,,Teddy,,"February 13, 2026","Brown abluk, fone white, medium ears. (crossed with ajrak breeder)",No,Rupa,,Farm,,58000,Fazeel,Female,,Slaughtered
38,0,Teddy,Sold with mother/,"February 19, 2026","Billo rani’s kid, brown abluk mostly white male teddy",No,Bruno,,Farm,,0,,Male,0,Sold
39,0,Bissar,,"February 21, 2026","Gulabo’s kid, double passa male bissar",No,Leo,,Farm,,0,,Male,,
40,0,Tapra,,"March 4, 2026","Bella’s kid, brown abluk mostly white with patches around neck and tail ",No,Bhola,,Farm,,0,,Male,24000,Sold
41,0,Teddy,,"March 12, 2026",Queen give birth to full white teddy female,No,-,,Farm,,0,,Female,,Died
42,10 months,Teddy,Purchased 38k for Awais and sold it for 50k.,"April 1, 2026","Black, small spot on head, seeng",No,Charcoal,,Awais,,50000,Shahzaib,Female,,
43,12 months,Teddy,,"April 11, 2026","Ajrak teddy female 12 months,  long ear, seeng, crossed with abluk breeder",No,Cadbury,,Farm,,38000,,Female,,
44,0,Teddy,,"May 11, 2026","Lallo kid, full white, White eyes, white khur",No,Babblu,,Farm,,0,,Male,,
45,0,Teddy,,"May 13, 2026","Masakali kid, Unique fone color deer like pattern",No,Toffee,,Farm,,0,,Female,,
46,6 months,Teddy,Exchanged with queen due to heavy weekness,"June 5, 2026",Purchased earlier from fazeel not crossed with marco,No,Munni,,Farm,,65000,Fazeel,Female,,
47,6-8 teeth,Teddy,,"June 8, 2026","Black abluk heavy breeder, munda",No,Shelby,,Farm,,110000,Shaheer,Male,,
,,,,,,No,,,,,,,,,
