SID,Goat ID,Name,Select,"Weight (29, Oct 25)","Weight (7 March, 26)"
4,7 (https://app.notion.com/p/7-25d2fab8a4058011b0c6ca5b77323918?pvs=21),Choti Sheezadi,,,
8,12 (https://app.notion.com/p/12-25d2fab8a405807fad18cfc7c7fb677d?pvs=21),Shezada,,,
3,6 (https://app.notion.com/p/6-25d2fab8a40580d292efc90b8cf6b554?pvs=21),Gurdya,,,
12,19 (https://app.notion.com/p/19-25d2fab8a4058006ac36c60d84b9ab81?pvs=21),Titli,,,
10,16 (https://app.notion.com/p/16-25d2fab8a40580358006e95ebe9c7d64?pvs=21),Paro,Inchi tape,51 kg,51 kg
6,9 (https://app.notion.com/p/9-25d2fab8a40580bab759edd30ae43375?pvs=21),Brownie,Inchi tape,15 kg,29.5 kg
1,1 (https://app.notion.com/p/1-25d2fab8a40580519af3f18b35364297?pvs=21),Gulabo,Inchi tape,45 kg,43.5 kg
7,11 (https://app.notion.com/p/11-25d2fab8a40580b0a84ee49c48b9592a?pvs=21),Lallo,,,
5,8 (https://app.notion.com/p/8-25d2fab8a40580d1bbd1f40afcbd720e?pvs=21),Cheeku,Inchi tape,12.2 kg,21.5 kg
18,27 (https://app.notion.com/p/27-2922fab8a40580c2a8c3faa4631cb880?pvs=21),Bubbly,Inchi tape,23.5 kg,27.5 kg
2,3 (https://app.notion.com/p/3-25d2fab8a40580fb99c6ced201efc7da?pvs=21),Bilo Rani,,,
14,22 (https://app.notion.com/p/22-27a2fab8a4058036875affb07b74deed?pvs=21),Chocolate,,,
13,20 (https://app.notion.com/p/20-25d2fab8a40580c4b381dcaa95c0a3e4?pvs=21),Emma,,,
16,24 (https://app.notion.com/p/24-2862fab8a40580da83f5cb98d3868613?pvs=21),Grace,Inchi tape,34 kg,
15,23 (https://app.notion.com/p/23-27d2fab8a40580a79bc6d873b91815bf?pvs=21),Velvet,,,
9,15 (https://app.notion.com/p/15-25d2fab8a4058000a0bdf62f5e36af3d?pvs=21),Biscuit,Inchi tape,27.5 kg,40 kg
21,30 (https://app.notion.com/p/30-2a12fab8a405803dab73fcfd5d81bce6?pvs=21),Queen,,,
22,33 (https://app.notion.com/p/33-2fb2fab8a4058071aaacd18c74d03038?pvs=21),Masakali,,,
23,34 (https://app.notion.com/p/34-2fb2fab8a40580adbc77f577dec20a4b?pvs=21),Coco,,,
24,36 (https://app.notion.com/p/36-3022fab8a405800e8486e3d5c3a2b99e?pvs=21),Daisy,,,
25,38 (https://app.notion.com/p/38-30e2fab8a40580e6a861e86b1dc03f6f?pvs=21),Bruno,,,
26,39 (https://app.notion.com/p/39-30e2fab8a405807a97c2d2378c6c94f9?pvs=21),Leo,,,
27,40 (https://app.notion.com/p/40-31a2fab8a405803dbba6d4d5efe69ee6?pvs=21),Bhola,,,
28,41 (https://app.notion.com/p/41-3222fab8a405802bb26ff124a6d598b1?pvs=21),-,,,
